Название	Район	Адрес	Телефон	Сайт	Email	Instagram	Facebook	Рейтинг	Отзывы	Google Maps	Статус
Reade Street Animal Hospital, A Thrive Pet Healthcare Partner		146 Reade St, New York, NY 10013, USA	(212) 274-1700	https://www.thrivepetcare.com/locations/new-york/new-york/reade-street-animal-hospital?utm_source=google&utm_medium=gmb				4.5	111	https://maps.google.com/?cid=853585325820733673	Новый
Carnegie Hill Veterinarians	Harlem	1707 3rd Ave, New York, NY 10128, USA	(212) 369-5665	https://carnegiehillveterinarians.com/	hello@carnegievet.com	@abingdonsquarevet	facebook.com/AbingdonSquareVeterinaryClinic	4.4	360	https://maps.google.com/?cid=5941528718967761056	Новый
Animal Clinic of New York	Harlem	1623 1st Ave, New York, NY 10028, USA	(212) 628-5580					4.1	40	https://maps.google.com/?cid=14483976620661089318	Новый
Westside Animal Hospital	Upper West Side	666 10th Ave, New York, NY 10036, USA	(212) 247-8600	http://www.westsideanimalnyc.com			facebook.com/westsideanimalhospitalnyc	4.3	74	https://maps.google.com/?cid=8891001694335894191	Новый
Pure Paws Veterinary Care of Clinton Hill		944 Fulton St, Brooklyn, NY 11238, USA	(718) 783-5500	https://www.purepawsvet.com/clinton-hill-ny/		@purepawsvet	facebook.com/purepawsveterinarycare	4.5	573	https://maps.google.com/?cid=16904813648802887464	Новый
The Animal Cardiology Center		121 York St, Brooklyn, NY 11201, USA	(212) 722-0449	http://www.taccvets.com/	info@taccvets.com	@taccnyc	facebook.com/p	4.9	200	https://maps.google.com/?cid=16623410639954271706	Новый
Vetco Total Care Animal Hospital		44 Union Sq E, New York, NY 10003, USA	(332) 345-5957	https://stores.petco.com/ny/newyork/vet-hospital-newyork-ny-3741.html		@petco	facebook.com/PETCO	4.1	202	https://maps.google.com/?cid=11949623140606417250	Новый
Riverside Veterinary Clinic	Harlem	4151 Broadway, New York, NY 10033, USA	(212) 923-1991	http://riversidevetny.com/			facebook.com/118992938146202	3.5	331	https://maps.google.com/?cid=11385836121741117739	Новый
Heart of Chelsea Veterinary Group - Lower East Side		241 Eldridge St, New York, NY 10002, USA	(212) 390-8387	https://heartofchelsea.com/lower-east-side/		@heartofchelseavet	facebook.com/heartofchelseavet	4.6	173	https://maps.google.com/?cid=15657949097882720322	Новый
Midtown Animal Hospital	Manhattan	256 E 33rd St #1, New York, NY 10016, USA	(212) 683-0309	http://midtownanimalhospital.org/	Midtowndvm@gmail.com		facebook.com/Midtown	4.4	68	https://maps.google.com/?cid=4081299037706886027	Новый
Williamsburg Animal Clinic	Brooklyn	760 Grand St, Brooklyn, NY 11211, USA	(718) 302-2420	https://williamsburgvetny.com/	clinicdesk@williamsburgvetny.com	@williamsburganimalclinic	facebook.com/therealwilliamsburganimalclinic	4.3	530	https://maps.google.com/?cid=14381954723306450959	Новый
Center for Veterinary Care	Upper East Side	236 E 75th St #2, New York, NY 10021, USA	(212) 734-7480	https://www.thrivepetcare.com/locations/new-york/new-york/center-for-veterinary-care?utm_source=google&utm_medium=gmb				4.7	178	https://maps.google.com/?cid=8035384202107846434	Новый
Center For Avian & Exotic Medicine	Upper West Side	562 Columbus Ave, New York, NY 10024, USA	(212) 501-8750	https://www.thrivepetcare.com/locations/new-york/new-york/center-for-avian-and-exotic-medicine/?utm_source=gmb&utm_medium=web				4.4	854	https://maps.google.com/?cid=17240602376693477177	Новый
City Veterinary Care	Manhattan	220 W 72nd St, New York, NY 10023, USA	(332) 334-8313	http://www.cityvetcare.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb	info@cityvetcare.com	@cityveterinarycare	facebook.com/cityvetcare	4.6	390	https://maps.google.com/?cid=16347966819992548822	Новый
The Humane Society of New York	Manhattan	306 E 59th St, New York, NY 10022, USA	(212) 752-4840	http://www.humanesocietyny.org/about/contact.php	info.hsny@verizon.net	@humanesocietyny	facebook.com/HumaneSocietyNY	4.1	1243	https://maps.google.com/?cid=14891515050328566733	Новый
Veterinary Eye Center of New York City (Hell's Kitchen)		357 W 52nd St, New York, NY 10019, USA	(646) 838-3915	http://www.vecnyc.com/	info@vecnyc.com	@veteyecenternyc	facebook.com/veteyecenternyc	5	278	https://maps.google.com/?cid=4770813042423829217	Новый
East Side Animal Hospital	Upper East Side	321 E 52nd St, New York, NY 10022, USA	(212) 751-5176	https://nycvetgroup.com/	licvets@gmail.com	@licvets	facebook.com/LICVets	4	157	https://maps.google.com/?cid=6081853135136239620	Новый
Bond Vet - Upper West Side at 77th Street	Manhattan	352 Amsterdam Ave, Manhattan, NY 10024, USA	(212) 729-9661	https://bondvet.com/c/upper-west-side-animal-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=upper-west-side-at-77th-street		@bondvetclinic	facebook.com/bondvetclinic	4.7	666	https://maps.google.com/?cid=11420247721177139037	Новый
VCA Park East Animal Hospital	Manhattan	1390 2nd Ave, New York, NY 10021, USA	(212) 832-8417	https://vcahospitals.com/park-east?utm_source=maps&utm_medium=organic&utm_campaign=AU_1257				4.3	112	https://maps.google.com/?cid=12890981248735562377	Новый
Lincoln Square Veterinary Hospital	Manhattan	140 W 67th St, New York, NY 10023, USA	(212) 712-9600	http://lincolnsquarevets.com/	LincolnSquareVH@yourvetdoc.com	@lincoln_square_vet_hospital	facebook.com/lincolnsquareveterinaryhospital	4.6	158	https://maps.google.com/?cid=8425074413609492715	Новый
Animal Health Center	Manhattan	1676 1st Ave, New York, NY 10128, USA	(212) 360-5820	https://www.animalvetnyc.com/				4.4	98	https://maps.google.com/?cid=6283459932309285752	Новый
Riverside Animal Hospital North	Manhattan	250 W 108th St, New York, NY 10025, USA	(212) 865-2224	https://www.riversideanimalhospitalnorth.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2Njg4MjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D		@riversideahnorth	facebook.com/VetsNYC	4.6	502	https://maps.google.com/?cid=16377876435085379751	Новый
VERG Brooklyn	Brooklyn	196 4th Ave, Brooklyn, NY 11217, USA	(718) 522-9400	https://verg-brooklyn.com/	info@verg-brooklyn.com	@vergbrooklyn	facebook.com/VERGBrooklyn	3.3	915	https://maps.google.com/?cid=7029637960923326553	Новый
Park Slope Veterinary Center	Brooklyn	Park Slope Veterinary Center, 639 4th Ave, Brooklyn, NY 11232, USA	(718) 369-7387	https://parkslopevetcenter.com/	reception@parkslopeveterinarycenter.com	@parkslopevet	facebook.com/parkslopevet	4.5	363	https://maps.google.com/?cid=5243659734738015557	Новый
VEG ER for Pets	Brooklyn	1950 Ralph Ave, Brooklyn, NY 11234, USA	(718) 677-6700	https://www.veg.com/locations/new-york/ralph-ave-brooklyn?utm_source=organic_google&utm_medium=gbp_link&utm_campaign=locations_page&utm_content=ralph_ave_brooklyn		@veterinary_emergency_group	facebook.com/veterinaryemergencygroup	4.7	831	https://maps.google.com/?cid=18331657255352028926	Новый
Heart of Brooklyn Veterinary Hospital - Flatbush	Brooklyn	764 Flatbush Ave, Brooklyn, NY 11226, USA	(718) 282-5475	https://heartofbrooklynveterinary.com/		@heartofbrooklynvh	facebook.com/hobkvet	4.1	205	https://maps.google.com/?cid=14456065996094325429	Новый
Bond Vet - Park Slope	Brooklyn	157 5th Ave, Brooklyn, NY 11217, USA	(212) 518-3239	https://bondvet.com/c/park-slope-animal-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=park-slope		@bondvetclinic	facebook.com/bondvetclinic	4.4	392	https://maps.google.com/?cid=3014527740476058995	Новый
Animal Hospital of Brooklyn	Brooklyn	2270 Flatbush Ave, Brooklyn, NY 11234, USA	(718) 258-0500	https://animalhospitalbrooklyn.com/	animalhospitalofbrooklyn@gmail.com		facebook.com/tr	4.4	427	https://maps.google.com/?cid=4745689519607714380	Новый
Fifth Avenue Veterinary Hospital	Brooklyn	9102 5th Ave, Brooklyn, NY 11209, USA	(718) 748-1066	https://www.facebook.com/profile.php/?id=100049682479870			facebook.com/people	3.9	328	https://maps.google.com/?cid=9642498445319538027	Новый
Animal Kind Veterinary Hospital	Brooklyn	365 7th Ave, Brooklyn, NY 11215, USA	(718) 832-3899	https://www.animalkind.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2Njg5NTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D		@animalkindvet	facebook.com/animalkindveterinaryhospital	4.6	756	https://maps.google.com/?cid=5924897682695026931	Новый
All Creatures Veterinary Hospital of Brooklyn	Brooklyn	643 Washington Ave, Brooklyn, NY 11238, USA	(347) 915-1420	https://www.allcreaturesvetbrooklyn.com/	info@allcreatures-bk.com	@allcreaturesvetbrooklyn	facebook.com/All	4.6	231	https://maps.google.com/?cid=3816578462475151786	Новый
Heart of Brooklyn Veterinary Hospital - Fort Greene	Brooklyn	775 Fulton St, Brooklyn, NY 11217, USA	(718) 855-7387	https://heartofbrooklynveterinary.com/		@heartofbrooklynvh	facebook.com/hobkvet	4.4	238	https://maps.google.com/?cid=16142760557639659434	Новый
Bath Animal Hospital	Brooklyn	2125 Bath Ave, Brooklyn, NY 11214, USA	(718) 373-5126	https://www.bathanimalhosp.com/	info@bathanimalhosp.com			4.5	209	https://maps.google.com/?cid=9501888197125672610	Новый
BluePearl Pet Hospital	Brooklyn	190 3rd Ave, Brooklyn, NY 11217, USA	(718) 596-0099	https://bluepearlvet.com/hospital/brooklyn-ny/?utm_source=maps&utm_medium=google&utm_campaign=gbp	Info.Brooklyn@bluepearlvet.com	@bluepearlvet	facebook.com/BluePearlPetHospital	3.8	811	https://maps.google.com/?cid=2105663428146618568	Новый
Crown Heights Animal Hospital	Brooklyn	753 Franklin Ave, Brooklyn, NY 11238, USA	(718) 622-0052	http://www.phanimalhospital.com/				4.4	202	https://maps.google.com/?cid=1815442453534120521	Новый
Animal Clinic of Marine Park	Brooklyn	3616 Quentin Rd, Brooklyn, NY 11234, USA	(718) 382-8100	http://animalclinicofmarinepark.com/			facebook.com/animalclinicofmarinepark	4.2	268	https://maps.google.com/?cid=2267891512902806154	Новый
Pet Haven Animal Hospital	Brooklyn	290 McDonald Ave, Brooklyn, NY 11218, USA	(718) 435-6900	http://www.pethavenhospital.com/			facebook.com/pages	4.1	250	https://maps.google.com/?cid=10246481669789223335	Новый
Sheepshead Bay Veterinary Group	Brooklyn	2806 Avenue U, Brooklyn, NY 11229, USA	(718) 368-1863	https://sbvet.net/	sbvg2003@yahoo.com		facebook.com/Sheepshead	4.1	535	https://maps.google.com/?cid=4721243893360782770	Новый
Franklin Ave Animal Hospital	Brooklyn	614 Franklin Ave, Brooklyn, NY 11238, USA	(718) 975-7080	https://phanimalhospital.com/				4.5	374	https://maps.google.com/?cid=2418619687371204555	Новый
Prospect Heights Animal Hospital	Brooklyn	277 Flatbush Ave, Brooklyn, NY 11217, USA	(718) 789-3647	http://www.phanimalhospital.com/				4.4	191	https://maps.google.com/?cid=10495713698487928021	Новый
Kew Gardens Animal Hospital	Queens	118-27 Metropolitan Ave, Kew Gardens, NY 11415, USA	(718) 847-7387	https://www.kewgardensanimalhospital.com/	kewgardensanimalhospital@gmail.com	@kewgardensanimalhospital	facebook.com/profile.php	4.5	597	https://maps.google.com/?cid=15014972136688877959	Новый
Veterinary Care Group - Middle Village	Queens	62-09 Fresh Pond Rd, Middle Village, NY 11379, USA	(718) 386-0655	https://www.veterinarycaregroup.com/locations/middle-village?utm_source=gmb&utm_medium=organic&y_source=1_MjQ0NDU4MjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	privacy@nva.com	@veterinarycaregroup	facebook.com/veterinarycaregroup	4.6	543	https://maps.google.com/?cid=17649013304363267553	Новый
VEG ER for Pets	Brooklyn	87 Kent Ave, Brooklyn, NY 11249, USA	(917) 423-6444	https://www.veg.com/locations/new-york/williamsburg?utm_source=organic_google&utm_medium=gbp_link&utm_campaign=locations_page&utm_content=williamsburg		@veterinary_emergency_group	facebook.com/veterinaryemergencygroup	4.7	817	https://maps.google.com/?cid=9099792744915184102	Новый
Alison Animal Hospital	Brooklyn	224 Prospect Park W, Brooklyn, NY 11215, USA	(718) 473-0081	https://www.alisonanimal.com/	SayHi@alisonanimal.com	@alisonanimalhospital	facebook.com/Alison	4.7	398	https://maps.google.com/?cid=16315816510507755825	Новый
One Love Animal Hospital	Brooklyn	317 Atlantic Ave, Brooklyn, NY 11201, USA	(718) 532-7410	http://onelovevet.com/	info@onelovevet.com	@onelovehospital	facebook.com/onelovevet	4.3	138	https://maps.google.com/?cid=2570210054289080961	Новый
Veterinarian in Queens, USDA Vet	Queens	92-29 Queens Blvd, Rego Park, NY 11374, USA	(718) 606-6102	https://vetqueens.com/			facebook.com/Rego	3.9	229	https://maps.google.com/?cid=13366230280288007272	Новый
Prospect Park Animal Clinic	Brooklyn	105 Prospect Park W, Brooklyn, NY 11215, USA	(718) 768-6125	http://www.prospectparkanimalclinic.com/	prospectparkanimalclinic@gmail.com	@prospectparkanimalclinic	facebook.com/ProspectParkAnimalClinic	4.8	308	https://maps.google.com/?cid=5365061910705877622	Новый
Animal Clinic of Queens	Queens	65-12 Fresh Pond Rd, Flushing, NY 11385, USA	(718) 417-6200					4.1	374	https://maps.google.com/?cid=7691935626285922861	Новый
Juniper Valley Animal Hospital	Queens	64-14 69th Pl, Middle Village, NY 11379, USA	(718) 418-7330	http://junipervalley.com/		@junipervalleyanimalhospital	facebook.com/JuniperValleyAH	4.8	866	https://maps.google.com/?cid=11540996059542267024	Новый
BluePearl Pet Hospital	Queens	107-28 71st Rd, Forest Hills, NY 11375, USA	(718) 263-0099	https://bluepearlvet.com/hospital/queens-ny/?utm_source=maps&utm_medium=google&utm_campaign=gbp	Info.Queens@bluepearlvet.com	@bluepearlvet	facebook.com/BluePearlPetHospital	3	722	https://maps.google.com/?cid=11822291899410747008	Новый
Steinway Court Veterinarian	Queens	32-41 Steinway St, Long Island City, NY 11103, USA	(718) 728-2822	https://steinwaycourtvet.com/			facebook.com/Steinway	4.7	758	https://maps.google.com/?cid=542014978427495166	Новый
Lefferts Animal Hospital	Queens	86-37 Lefferts Blvd, Richmond Hill, NY 11418, USA	(917) 993-5349	https://leffertsvet.com/	leffertsah@yahoo.com	@Leffertsanimalhospital	facebook.com/LeffertsAnimalHospital	4.1	579	https://maps.google.com/?cid=5693445139486699959	Новый
Faithful Friends Animal Hospital	Brooklyn	2455 McDonald Ave, Brooklyn, NY 11223, USA	(718) 339-7387	http://www.faithfulfriendsny.com/	info@faithfulfriendsny.com			4.2	421	https://maps.google.com/?cid=987315276733045049	Новый
Elmhurst Animal Hospital	Queens	87-06 Queens Blvd, Elmhurst, NY 11373, USA	(718) 426-4444	https://myweb14.site/explore/elmhurst-animal-emergency-hospital				2.8	169	https://maps.google.com/?cid=17546270384093540990	Новый
Queens Animal Hospital	Queens	40-28 58th St, Woodside, NY 11377, USA	(718) 672-9722	https://queensanimalhospital.com/		@queensanimalhospital	facebook.com/QueensAnimal	3.7	562	https://maps.google.com/?cid=17164243273582648840	Новый
Fresh Meadows Animal Clinic	Queens	192-09 Union Tpke, Fresh Meadows, NY 11366, USA	(718) 776-1165	http://queensveterinarian.com	queensveterinarian@gmail.com	@freshmeadowsanimalclinic	facebook.com/freshmeadowsanimalclinic	4.5	478	https://maps.google.com/?cid=11840662600422678262	Новый
